title,abstract,authors,year,source,doi,url_of_publication
X- and Y-Codes for MIMO Precoding,"We consider a time division duplex (TDD) n(t) x n(r) multiple-input multiple-output (MIMO) system with known channel state information (CSI) at both transmitter and receiver. Using singular value decomposition (SVD) precoding at the transmitter, the MIMO channels are transformed into parallel subchannels. To improve the low diversity order, we propose X-and Y-Codes, prior to SVD precoding, to pair subchannels having different diversity orders. Specifically, a pair of channels is jointly encoded using a 2 x 2 real matrix, which is fixed a priori and does not change with each channel realization. Moreover, we propose X-, Y-Precoders with the same encoding matrices as X-, Y-Codes, which adapt to each channel realization. The optimal encoding matrices for X-and Y-Codes/Precoders are derived analytically to minimize the average error probability. Finally, we see that X-, Y-Codes/Precoders indeed achieve higher diversity gains at very low encoding/decoding complexity for both well-and ill-conditioned channels, respectively, when compared to other precoding schemes in the literature. We also observe that for the Rayleigh fading channel model X-and Y-Codes/Precoders exhibit the best average error performance.","Mohammed, Saif Khan; Viterbo, Emanuele; Hong, Yi; Chockalingam, Ananthanarayanan",2010,2010 IEEE INTERNATIONAL SYMPOSIUM ON INFORMATION THEORY,10.1109/ISIT.2010.5513455,https://doi.org/10.1109/ISIT.2010.5513455
I/Q Linear Phase Imbalance Estimation Technique of the Wideband Zero-IF Receiver,"The in-phase/quadrature (I/Q) imbalance encountered in the zero-IF receiver leads to incomplete image frequency suppression, which severely deteriorates image rejection ratio (IRR) of the receiver system and must be improved using additional analog or digital signal processing. The I/Q linear phase imbalance (LPI) is the key of the I/Q imbalance, which consists of the time delay deviation (TDD) and the local oscillator (LO) phase offset. TDD is negligible in most literature, but it degrades system performance largely for wideband communication systems. This paper proposes a method based on the cross-power spectrum between the I/Q signal to address the estimation problem of LPI. Compared with other conventional methods, the proposed approach calculates LPI parameters simultaneously without any additional hardware. The MATLAB simulation is utilized to evaluate the effectiveness of the presented method. Moreover, the experimental platform of detailed design demonstrates the feasibility of the proposed estimation method, and IRR of the system before and after compensation shows that LPI has been accurately estimated and eliminated with the help of an appropriate compensation structure. Both reveal that the proposed method offers an effective solution to the LPI problem.","Meng, Jie; Wang, Houjun; Ye, Peng; Zhao, Yu; Guo, Lianping; Zeng, Hao; Tian, Yu",2020,ELECTRONICS,10.3390/electronics9111787,https://doi.org/10.3390/electronics9111787
Fairness-based Scheduling Algorithm for TDD Mode IEEE 802.16 Broadband Wireless Access Systems,"IEEE 802.16 standards specify four types of services, while how to design an efficient scheduling algorithm remains an open issue. Manufacturers can implement their own scheduling algorithms depending on their specific requirements. There are a lot of scheduling algorithms proposed in the literature. Several scheduling algorithms propose hierarchical structures with strict priority or one-level scheduling mechanism. They are based conceptually on the round-robin approaches. However, they don't consider an important factor: fairness. In this paper we propose a fairness strategy algorithm for IEEE 802.16 broadband wireless access networks. The proposed algorithm applies a fairness strategy to utilize the system bandwidth, to achieve the QoS requirements of high priority service flows, and to reduce starvations of low priority service flows. The simulation studies show that the proposed scheduling algorithm provides a flexible way to utilize the system bandwidth.","Cheng, Sheng-Tzong; Chen, Bo-Fu; Chou, Chih-Lun",2008,"2008 IEEE ASIA-PACIFIC SERVICES COMPUTING CONFERENCE, VOLS 1-3, PROCEEDINGS",10.1109/APSCC.2008.73,https://doi.org/10.1109/APSCC.2008.73
A FULLY-DISTRIBUTED CONTROL TIME SLOT ASSIGNMENT PROTOCOL FOR LARGE WIRELESS MESH NETWORKS,"A control time slot assignment protocol is developed for time division multiple access (TDMA) and time division duplex (TDD)-based large wireless mesh networks (WMNs). Through the protocol, each wireless mesh router acquires a broadcast time slot that supports a minimum average signal-to-interference-plus-noise ratio (SINR) to all of its neighbors. The protocol employs contention -based reservation mechanisms in a topology-dependent way and executes in a fully-distributed manner It explicitly takes into account vagaries of radio propagation and co-channel interference, often oversimplified in the literature. A computer simulator is created that implements realistic large-scale radio propagation and considers all co-channel interferers in the network. Through simulations, protocol performance is determined for different wireless system factors including shadowing. In addition, a power control scheme is proposed to better utilize time slots. Results show that the protocol indeed guarantees a minimum average SINR for all links between a pair of neighbors in all simulated scenarios.","Lee, Hyunok; Cox, Donald C.",2008,"2008 IEEE MILITARY COMMUNICATIONS CONFERENCE: MILCOM 2008, VOLS 1-7",,https://doi.org/
The impacts of agile and lean practices on project constraints: A tertiary study,"The growing interest in Agile and Lean software development is reflected in the increasing number of secondary studies on the benefits and limitations of Agile and Lean processes and practices. The aim of this tertiary study is to consolidate empirical evidence regarding Agile and Lean practices and their respective impacts on project constraints as defined in the Project Management Body of Knowledge (PMBOK): scope, quality, schedule, budget, resources, communication, and risk. In this tertiary study, 13 secondary studies were included for detailed analysis. Given the heterogeneity of the data, we were unable to perform a rigorous synthesis. Instead, we mapped the identified Agile and Lean practices, and their impacts on the project constraints described in PMBOK. From 13 secondary studies, we identified 13 Agile and Lean practices. Test-Driven Development (TDD) is studied in ten secondary studies, meanwhile other practices are studied in only one or two secondary studies. This tertiary study provides a consolidated view of the impacts of Agile and Lean practices. The result of this tertiary study indicates that TDD has a positive impact on external quality. However, due to insufficient data or contradictory results, we were unable to make inferences on other Agile and Lean practices. Implications for research and practice are further discussed in the paper. (C) 2016 Elsevier Inc. All rights reserved.","Nurdiani, Indira; Borstler, Jurgen; Fricker, Samuel A.",2016,JOURNAL OF SYSTEMS AND SOFTWARE,10.1016/j.jss.2016.06.043,https://doi.org/10.1016/j.jss.2016.06.043
Thyroid disease diagnosis via hybrid architecture composing rough data sets theory and machine learning algorithms,"This work is a hybrid architecture design furnished successfully using artificial intelligence techniques, rough data sets theory and machine learning algorithms. The purpose of this work is to bring the spotless and smart approach in identifying the thyroid disease in a human. There are several mechanisms implemented on thyroid data sets which produced astonished outcomes, but the data considered for the thyroid disease diagnoses (TDD) is inconsistent, redundant and consists of missing attribute values as per my literature survey. The proposed work is to construct an expert advisory system of hybrid architecture, which is to determine the optimistic disease growth because of the thyroid gland. A string matching system (SMS) was at the outset developed, which can predict the actual TDD based on the knowledge available. If the SMS fails, an individual approaches using artificial bee colony optimization and particle swarm optimization are developed to achieve the accuracy of results appreciating the measure values as 65 and 93 %, but the results obtained using the above said approaches are calculated using some missed attribute values which are not included in the knowledge likewise left blank and hence the proposed work continues to first generate the missing attribute value in the knowledge by using rough data sets theory and the obtained data (missed attribute values) is given to predict optimistic disease along with its prevention and its curing methods. However, the data generated cannot predict the optimal disease and hence it is proposed to use a machine learning algorithm so that, obtained result is hygienic. The knowledge for implementation of this work is gathered from Intelligent System Laboratory of K. N. Toosi University of Technology, ImamKhomeini Hospital. Aquestionnaire form is developed for providing an interface for user so they can contribute the data.","Prasad, V.; Rao, T. Srinivasa; Babu, M. Surendra Prasad",2016,SOFT COMPUTING,10.1007/s00500-014-1581-5,https://doi.org/10.1007/s00500-014-1581-5
Practical methods for constructing suffix trees,"Sequence datasets are ubiquitous in modern life-science applications, and querying sequences is a common and critical operation in many of these applications. The suffix tree is a versatile data structure that can be used to evaluate a wide variety of queries on sequence datasets, including evaluating exact and approximate string matches, and finding repeat patterns. However, methods for constructing suffix trees are often very time-consuming, especially for suffix trees that are large and do not fit in the available main memory. Even when the suffix tree fits in memory, it turns out that the processor cache behavior of theoretically optimal suffix tree construction methods is poor, resulting in poor performance. Currently, there are a large number of algorithms for constructing suffix trees, but the practical tradeoffs in using these algorithms for different scenarios are not well characterized. In this paper, we explore suffix tree construction algorithms over a wide spectrum of data sources and sizes. First, we show that on modern processors, a cache-efficient algorithm with O(n(2)p) worst-case complexity outperforms popular linear time algorithms like Ukkonen and McCreight, even for in-memory construction. For larger datasets, the disk I/O requirement quickly becomes the bottleneck in each algorithm's performance. To address this problem, we describe two approaches. First, we present a buffer management strategy for the O(n(2)) algorithm. The resulting new algorithm, which we call Top Down Disk-based (TDD), scales to sizes much larger than have been previously described in literature. This approach far outperforms the best known disk-based construction methods. Second, we present a new disk-based suffix tree construction algorithm that is based on a sort-merge paradigm, and show that for constructing very large suffix trees with very little resources, this algorithm is more efficient than TDD.","Tian, YY; Tata, S; Hankins, RA; Patel, JM",2005,VLDB JOURNAL,10.1007/s00778-005-0154-8,https://doi.org/10.1007/s00778-005-0154-8
SLINR-Based Downlink Optimization in MU-MIMO Networks,"Optimizing the downlink of multi-cell multiuser multiple input multiple output (MU-MIMO) networks has received substantial attention; however, the schemes in the literature consider centralized solutions requiring significant overhead in information exchange (e.g., global channel state information or CSI) and computation load (the need to solve a single large problem). This paper presents a decentralized weighted sum-rate (WSR) maximization algorithm for the multiuser downlink, accounting for beamforming, scheduling, and power allocation. We show that the signal-to-leakage-plus-noise ratio (SLNR) used in previous work suffers from significant drawbacks that limit its potential use in WSR maximization. We address this by proposing a new performance measure, the signal-to-leakage-plus-interference-plus-noise ratio (SLINR), which incorporates intra-cell interference and inter-cell leakage. The SLINR exploits the benefits of the SLNR approach, but by explicitly including interference, avoids many of its flaws. We derive an iterative and decentralized resource allocation approach under imperfect CSI, and our simulation results show that, despite BSs using only local information, the proposed algorithm comes within 3.8% of the throughput achieved by centralized schemes.","Gamvrelis, Tyler; Li, Zehua; Khan, Ahmad Ali; Adve, Raviraj S.",2022,IEEE ACCESS,10.1109/ACCESS.2022.3224197,https://doi.org/10.1109/ACCESS.2022.3224197
Achieving Phase Coherency and Gain Stability in Active Antenna Arrays for Sub-6 GHz FDD and TDD FD-MIMO: Challenges and Solutions,"Full-dimension MIMO (FD-MIMO) using planar active antenna systems (AAS) is considered a critical technology for fifth-generation (5G) cellular systems to improve network capacity. An AAS is typically subject to hardware impairments that negatively impact network capacity. Hence, this article focuses on impairments that cause phase and magnitude errors between radio frequency (RF) chains and shows why they are particularly difficult to avoid in practical AAS. Although previous investigations show these impairments to degrade performance, they are not useful in deriving measurable impairment margins for practical FD-MIMO deployments. Knowing impairment limits are critical for system designers to make hardware design tradeoffs such as AAS configuration, component selection, implementation complexity, and cost. Moreover, it also helps set conformance limits for critical lab verification. Therefore, the paper first investigates the impact of the impairments and derives their practical limits for FD-MIMO by explicitly considering the cumulative effects of the channel model, inter-cell interference, link adaptation, and channel aging due to feedback delays. It is shown that a lower number of digitized RF chains can be a better choice under lower impairments. Next, the sources of impairments are investigated by using measurements carried out in the lab and the field during live operation in a commercial LTE network. Phase drift from local oscillators (LO) and internal temperature variations are identified as two significant sources. The tradeoffs and shortcomings of some of the existing solutions in massive MIMO literature are discussed. Finally, in order to address the shortcomings, a novel and practical coherent LO distribution architecture and array calibration mechanism are proposed. This solution is shown to be applicable to both TDD and FDD FD-MIMO. Measurement results are provided to prove the high degree of coherency and stability achieved on a unique array architecture called high definition active antenna system (HDAAS).","Vaghefi, Reza Monir; Palat, Ramesh Chembil; Marzin, Giovanni; Basavaraju, Kiran; Feng, Yiping; Banu, Mihai",2020,IEEE ACCESS,10.1109/ACCESS.2020.3018393,https://doi.org/10.1109/ACCESS.2020.3018393
Video Action Classification Using Symmelets and Deep Learning,"Classification of human actions is very challenging and important in many video-based applications. Two common features, i.e., the hand-crafted and the deep-learned ones are usually adopted for video representation and have been proven to be effective in many famous datasets in the literature. However, the hand-crafted feature lacks the ability to detect the discriminative and semantic features and the deep-learned one fails to outperform previous hand-crafted feature. This paper propose a novel symmelet-based classification approach to improve the accuracy of the state-of-the-art frameworks. Symmelet is a symmetrical pair including a SURF point and its corresponding symmetrical point in the same frame. Many symmetrical properties often exist in various video scenes. With symmelets, various redundant (or background) features can be filtered out so that action contents can be more accurately represented. The new approach takes advantages of symmelets, improved dense trajectories (IDT), and trajectory-pooled deep-convolutional descriptor (TDD) to learn useful deep features for represent video contents deeply. Performance evaluation on two challenging datasets, i.e., HMDB51 and UCF101 shows that the proposed solution is superior and can achieve quite higher recognition accuracy than other state-of-art frameworks.","Alghyaline, Salah; Hsieh, Jun-Wei; Chuang, Chi-Hung",2017,"2017 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN, AND CYBERNETICS (SMC)",,https://doi.org/
A WIMAX MIMO Network Architecture Exploiting Spatial Diversity of Multiple Antenna Sites,"This paper presents a framework to exploit the Multi Input Multi Output (MIMO) technique in the Worldwide Interoperability for Microwave Access (WIMAX) physical layer. MIMO is an established standard in the WIMAX family, however practical literature on the exploitation of MIMO in WIMAX networks focused on treating the paradoxical situation of demand for Line Of Sight (LOS) in microwave communications against the essential MIMO prerequisite, i.e., the Non LOS (NLOS) and multi fade paths. This framework proposes a novel approach to exploit potentials of MIMO in WIMAX networks. This is achieved by exploiting spatial diversity of Multiple Antenna Sites (MAS) to create artificial NLOS environment, whereby, MAS(s) are encapsulated as antennas in a large scale frame. This presents a significant enhancement of the existing schemes, which highlighted the exploitation of the combination of Time Division Duplexing (TDD), Orthogonal Frequency Division Multiplexing (OFDM), and MIMO for Multiple Access Points (MAP(s)) in a Single Frequency Network (SFN). In this paper, the network is divided into layers and the above exploitation of MIMO is realised between these layers in a network-to-network communication scenario. The resulting network is characterized by high capacities at distribution access points and ease of design by virtue of combination of SFN and spatial techniques.","El Sanousi, Geili T. A.",2009,MESH: 2009 SECOND INTERNATIONAL CONFERENCE ON ADVANCES IN MESH NETWORKS,,https://doi.org/
Channel Estimation for TDD Uplink Massive MIMO Systems via Compressed Sensing,"Massive Multiple-Input Multiple-Output (Massive MIMO) is expected to be one of the key feature technology for the next cellular communication networks due to its significant benefits in terms of energy efficiency and increased spectral. To fully exploit these advantages, an accurate estimation of the Channel Impulse Response (CIR) between each transmit-receive antenna pair is crucial. In literature, it has been demonstrated that wireless communication tends to have a sparse structured CIR in delay and/or spatial domains. Several channel estimation strategies have exploited the sparsity in the massive MIMO channel based on additional assumptions on shared common support between uplink channels. In this paper, we propose a general approach which highlights the individual sparsity in the different uplink channels without any other additional assumption. To achieve this purpose, a training sequence, also known as pilot sequence and compressed sensing based CIR estimation techniques have been proposed for the massive MIMO sparse uplink channels. In order to underline the performance of proposed techniques, a comparison in terms of Bit Error Rate (BER) and Normalized Mean Square Error (NMSE) is performed with other CS algorithms. The simulation results have shown that proposed algorithm presents a performance gain between 5 dB and 10 dB in terms of NMSE, and a gain of 1dB to 9dB in terms of BER.","Lahbib, Noura Derria; Cherif, Maha; Hizem, Moez; Bouallegue, Ridha",2019,2019 15TH INTERNATIONAL WIRELESS COMMUNICATIONS & MOBILE COMPUTING CONFERENCE (IWCMC),,https://doi.org/
Are there any Unit Tests? An Empirical Study on Unit Testing in Open Source Python Projects,"Unit testing is an essential practice in Extreme Programming (XP) and Test-driven Development (TDD) and used in many software lifecycle models. Additionally, a lot of literature deals with this topic. Therefore, it can be expected that it is widely used among developers. Despite its importance, there is no empirical study which investigates, whether unit tests are used by developers in real life projects at all. This paper presents such a study, where we collected and analyzed data from over 70K revisions of 10 different Python projects. Based on two different definitions of unit testing, we calculated the actual number of unit tests and compared it with the expected number (as inferred from the intentions of the developers), had a look at the mocking behavior of developers, and at the evolution of the number of unit tests. Our main findings show, (i) that developers believe that they are developing more unit tests than they actually do, (ii) most projects have a very small amount of unit tests, (iii) developers make use of mocks, but these do not have a significant influence on the number of unit tests, (iv) four different patterns for the evolution of the number of unit tests could be detected, and (v) the used unit test definition has an influence on the results.","Trautsch, Fabian; Grabowski, Jens",2017,"2017 10TH IEEE INTERNATIONAL CONFERENCE ON SOFTWARE TESTING, VERIFICATION AND VALIDATION (ICST)",10.1109/ICST.2017.26,https://doi.org/10.1109/ICST.2017.26
"Coordination of inventory and shipment consolidation decisions: A review of premises, models, and justification","This chapter takes into account the latest industrial trends in integrated logistical management and focuses on recent supply-chain initiatives that enable the integration of inventory and transportation decisions. The specific initiatives of interest include Vendor Managed Inventory (VMI), Third Party Warehousing/Distribution (3PW/D), and Time Definite Delivery (TDD) applications. Under these initiatives, substantial savings can be realized by carefully incorporating all outbound shipment strategy with inventory replenishment decisions. The impact is particularly tangible when the shipment strategy calls for a consolidation program where several smaller deliveries are dispatched as a single combined load, thereby realizing the scale economies inherent in transportation. Recognizing a need for analytical research in the field, this chapter concentrates on two central areas in shipment consolidation: i) analysis of pure consolidation policies where a shipment consolidation program is implemented on its own without coordination, and ii) analysis of integrated policies where outbound consolidation and inventory control decisions are coordinated under recent supply-chain initiatives. The chapter presents a research agenda, as well as a review of the related literature, in these two areas. Some of the recent findings of the methodological research are summarized, and current and future research endeavors are discussed. By offering a theoretical framework for modeling recent supply-chain initiatives, the chapter highlights some of the many challenging practical problems in this emerging field.","Cetinkaya, S",2005,APPLICATIONS OF SUPPLY CHAIN MANAGEMENT AND E-COMMERCE RESEARCH,10.1007/0-387-23392-X_1,https://doi.org/10.1007/0-387-23392-X_1
Channel Estimation Capacity Enhancement for Multigroup Multicasting Multimedia Networks With DnCNN,"In Time Domain Duplex (TDD) massive MIMO systems, multi-group multi-casting becomes a promising technology since it supports services of mass content distribution. Based on the nature of transmitting common message to groups of users simultaneously, there exists a rich literature discussing the resource allocation under various constraints. However, the practical acquisition of CSI has not been fully explored when the number of multi-groups is large and the band is narrow. The insufficient sounding reference signal resources lead to the limited Channel Estimation Capacity (CEC). Under this case, even with Multi-User (MU) channel estimation techniques, some users still cannot be estimated in-timely, which introduces degradation. Aiming at this problem, in this paper we provide a preliminary exploration on CEC enhancement. Based on Denoising Convolutional Neuron Network (DnCNN), which is recently proposed and has succeeded in image denoising, we propose MU-DnCNN Channel Estimation (M-DnCNN CE). M-DnCNN CE includes three parts. First, we modify the utilization of SRS sequences. Then we establish the feature maps and propose M-DnCNN to denoise the signals. Finally, a matched channel restoration method is provided. The practical 3-D MIMO channel model is utilized to evaluate the performance. Compared with DFT-based and conjugated separation methods, results show that the performance of M-DnCNN CE is robust and superior, and the CEC is remarkably improved on the premise of satisfying latency constraint.","Zeng, Tianyi; Wang, Yafeng; Li, Junyao; Hou, Shuai",2019,IEEE ACCESS,10.1109/ACCESS.2019.2958060,https://doi.org/10.1109/ACCESS.2019.2958060
Pilot Sequence-based Channel Estimation in Massive MIMO wireless communication networks under strong Pilot Contamination,"This work provides a straightforward channel estimator to overcome an unrealistic property provided by Minimum Mean Square Error Estimator (MMSEE) for Multi-Cell (MC) Massive Multiple-Input Multiple-Output (M-MIMO) systems operating under Time-Division Duplex (TDD) protocol. Besides, this work is in purpose to study and analyze the current ideal Least-Squares Estimator (LSE), the current ideal MMSEE, and the Maximum Likelihood Estimator (MLE) under various circumstances and considering under Pilot Contamination (PC) problems. This work compared and evaluate the performance of the studied estimators using the metric Mean Square Error (MSE). The traditional LSE provides the worst performance under a high interference level since it is considerably affected by PC. In spite of the greater accuracy achieved by MMSEE in many studies in the literature. However, the MMSEE is relying on an unrealistic assumption, which can be explained by the complete knowledge of among cell large-scale fading (LSF) coefficients as an unrealistic hypothesis in practical use. The suggested estimator (i.e., the MLE) is introduced to overcome the unusable property on which the MMSEE is based. Besides, the MLE is introduced to provides higher performance than LSE. Furthermore, we investigate a scenario of LSF coefficient (i.e., a LSF depends on the distance at which the user is located from its serving Base Station (BS)), wherewith we assert our analysis. An analytical, simulated, and approximated, results are provided for MLE to affirm our study, whereas analytical and simulated results are given for both LSE and MMSEE to assert the presented theoretical expressions.","Amadid, Jamal; El Ouadi, Zakaria; Wakrim, Layla; Khabba, Asma; Zeroual, Abdelouhab",2022,2022 INTERNATIONAL CONFERENCE ON DECISION AID SCIENCES AND APPLICATIONS (DASA),10.1109/DASA54658.2022.9765195,https://doi.org/10.1109/DASA54658.2022.9765195
A successful application of a Test-Driven Development strategy in the industrial environment,"Unit Test-Driven Development (UTDD) and Acceptance Test-Driven Development (ATDD) are software development techniques to incrementally develop software where the test cases, unit or acceptance tests respectively, are specified before the functional code. There are little empirical evidences supporting or refuting the utility of these techniques in an industrial context. Just a few case studies can be found in literature within the industrial environment and they show conflicting results (positive, negative and neutral). In this report, we present a successful application of UTDD in combination with ATDD in a commercial project. By successful we mean that the project goals are reached without an extra economic cost. All the UTDD and ATDD implementations are based on the same basic concepts, but they may differ in specific adaptations to each project or team. In the implementation presented here, the business requirements are specified by means of executable acceptance tests, which then are the input of a development process where the functional code is written in response to specific unit tests. Our goal is to share our successful experience in a specific project from an empirical point of view. We highlight the advantages and disadvantages of adopting UTDD and ATDD and identify some conditions that facilitate success. The main conclusions we draw from this project are that ATDD contributes to clearly capture and validate the business requirements, but it requires an extensive cooperation from the customer; and that UTDD has not a significant impact neither on productivity nor on software quality. These results cannot be generalized, but they point out that under some circumstances a test-driven development strategy can be a possible option to take into account by software professionals.","Latorre, Roberto",2014,EMPIRICAL SOFTWARE ENGINEERING,10.1007/s10664-013-9281-9,https://doi.org/10.1007/s10664-013-9281-9
Total Energy Efficiency of TR-MRC and FD-MRC Receivers for Massive MIMO Uplink,"This paper proposes a detailed investigation on the uplink (UL) performance of massive multiple-input-multipleoutput (maMIMO) systems employing maximum-ratio combining (MRC) at the receiver. While most papers in maMIMO literature assume orthogonal frequency-division multiplexing (OFDM), current standards such as long-term evolution (LTE) employ single-carrier (SC) waveform in the UL because of several benefits. We, thus, perform a systemic comparison between two fundamental schemes: the time-reversal MRC (TR-MRC) operating under SC, and the frequency-domain MRC (FD-MRC) employed with OFDM. On the one hand, it was recently shown that the TR-MRC outperforms the FD-MRC in terms of achievable rates, since SC systems do not require the cyclic prefix of OFDM. On the other hand, the computational complexity of the TR-MRC algorithm is higher than that of the FD-MRC algorithm, even when efficient solutions are employed (e.g., fast convolution with the overlap-andadd method). Hence, the best scheme for the UL maMIMO systems still remains an open question. The main contribution of this paper is the comparison of the total energy efficiency of both the TR-MRC and FD-MRC algorithms when used in the UL of maMIMO systems. Our results show that, for current typical system parameters, the FD-MRC/OFDM scheme achieves higher total energy efficiency than that achieved by the TR-MRC/SC scheme. However, if the cell radius is less than 300 m and/or the computational efficiency increases by 30% regarding the current processors, the TR-MRC algorithm under SC waveform becomes a much more attractive alternative for the UL of maMIMO systems.","Marinello Filho, Jose Carlos; Panazio, Cristiano; Abrao, Taufik; Tomasin, Stefano",2019,IEEE SYSTEMS JOURNAL,10.1109/JSYST.2019.2896221,https://doi.org/10.1109/JSYST.2019.2896221
Uplink-Downlink Channel Covariance Transformations and Precoding Design for FDD Massive MIMO,"A large majority of cellular networks deployed today make use of Frequency Division Duplexing (FDD) where, in contrast with Time Division Duplexing (TDD), the channel reciprocity does not hold and explicit downlink (DL) probing and uplink (UL) feedback are required in order to achieve spatial multiplexing gain. In order to support massive MIMO, i.e., a very large number of antennas at the base station (BS) side, the overhead incurred by conventional DL probing and UL feedback schemes scales linearly with the number of BS antennas and, therefore, may be very large. In this paper, we present a new approach to achieve a very competitive trade-off between spatial multiplexing gain and probing-feedback overhead in such systems. Our approach is based on two novel methods: (i) an efficient regularization technique based on Deep Neural Networks (DNN) that learns the Angular Spread Function (ASF) of users channels and permits to estimate the DL covariance matrix from the noisy i.i.d. channel observations obtained freely via UL pilots (UL-DL covariance transformation), (ii) a novel sparsifying precoding technique that uses the estimated DL covariance matrix from (i) and imposes a controlled sparsity on the DL channel such that given any assigned DL pilot dimension, it is able to find an optimal sparsity level and a corresponding sparsifying precoder for which the effective channel vectors after sparsification can be estimated at the BS with a low mean-square error. We compare our proposed DNN-based method in (i) with other methods in the literature via numerical simulations and show that it yields a very competitive performance. We also compare our sparsifying precoder in (ii) with the state-of-the-art statistical beamforming methods under the assumption that those methods also have access to the covariance knowledge in the DL and show that our method yields higher spectral efficiency since it uses in addition the instantaneous channel information after sparsification.","Khalilsarai, Mandi Barzegar; Song, Yi; Yang, Tianyu; Haghighatshoar, Saeid; Caire, Giuseppe",2019,"CONFERENCE RECORD OF THE 2019 FIFTY-THIRD ASILOMAR CONFERENCE ON SIGNALS, SYSTEMS & COMPUTERS",,https://doi.org/
